Date,Close,Open,High,Low,Order matchings,% Change
16-04-12,6885,6557,6922,6521,354.28K,6.18%
17-04-12,6994,6885,7177,6812,320.16K,1.58%
18-04-12,6703,6922,7067,6630,315.49K,-4.16%
19-04-12,6630,6630,6776,6521,239.84K,-1.09%
20-04-12,6739,6557,6739,6557,114.44K,1.64%
23-04-12,6703,6739,6776,6557,109.46K,-0.53%
24-04-12,6703,6630,6849,6594,153.72K,0.00%
25-04-12,6958,6776,7104,6776,195.73K,3.80%
26-04-12,6812,6885,6922,6703,68.09K,-2.10%
27-04-12,7286,6739,7286,6667,657.70K,6.96%
02-05-12,7796,7796,7796,7614,178.99K,7.00%
03-05-12,8306,8306,8306,8160,1.30M,6.54%
04-05-12,8852,8852,8852,8816,198.63K,6.57%
07-05-12,9472,9472,9472,9399,822.68K,7.00%
08-05-12,10127,10018,10127,10018,1.02M,6.92%
09-05-12,9654,10747,10747,9472,476.61K,-4.67%
10-05-12,9180,9690,9763,9034,766.19K,-4.91%
11-05-12,8779,9289,9326,8743,291.99K,-4.37%
14-05-12,8269,8415,8852,8269,290.86K,-5.81%
15-05-12,8197,8233,8561,8087,328.04K,-0.87%
16-05-12,8707,8269,8707,8197,203.62K,6.22%
17-05-12,8743,9180,9289,8743,248.04K,0.41%
18-05-12,8306,8707,8707,8233,291.67K,-5.00%
21-05-12,8852,8561,8852,8524,104.95K,6.57%
22-05-12,8743,8998,9289,8670,282.97K,-1.23%
23-05-12,8342,8925,8925,8269,225.67K,-4.59%
24-05-12,8415,8925,8925,7832,183.82K,0.88%
25-05-12,8998,8743,8998,8743,172.07K,6.93%
28-05-12,8998,9144,9544,8998,125.23K,0.00%
29-05-12,8889,8998,9071,8561,60.52K,-1.21%
30-05-12,8743,8925,8925,8670,50.86K,-1.64%
31-05-12,8342,8743,8743,8233,104.63K,-4.59%
01-06-12,8524,8379,8561,8233,46.36K,2.18%
04-06-12,8342,7942,8597,7942,228.41K,-2.14%
05-06-12,8342,8342,8524,8014,260.28K,0.00%
06-06-12,8379,8524,8561,8269,56.98K,0.44%
07-06-12,8937,8490,8982,8312,118.17K,6.66%
08-06-12,8937,8982,9295,8848,133.47K,0.00%
11-06-12,8848,8937,8937,8759,51.51K,-1.00%
12-06-12,8490,8669,8759,8446,75.52K,-4.05%
13-06-12,8267,8356,8446,8267,46.81K,-2.63%
14-06-12,8178,8267,8312,8133,19.32K,-1.08%
15-06-12,8222,8178,8446,8178,70.69K,0.54%
18-06-12,8267,8267,8490,8267,32.06K,0.55%
19-06-12,8222,8222,8222,8178,20.39K,-0.54%
20-06-12,8446,8267,8446,8222,228.70K,2.72%
21-06-12,8267,8267,8401,8267,19.99K,-2.12%
22-06-12,8356,8267,8356,8088,34.34K,1.08%
25-06-12,7954,8088,8088,7865,46.28K,-4.81%
26-06-12,7910,7954,7954,7552,63.58K,-0.55%
27-06-12,8178,8044,8178,7865,73.51K,3.39%
28-06-12,8044,7820,8044,7686,24.55K,-1.64%
29-06-12,8133,8044,8133,7999,46.81K,1.11%
02-07-12,7954,8133,8133,7820,15.69K,-2.20%
03-07-12,7865,7597,7865,7552,47.75K,-1.12%
04-07-12,7418,7686,7686,7329,65.32K,-5.68%
05-07-12,7731,7239,7731,7239,5.63K,4.22%
06-07-12,7910,7686,7910,7686,11.94K,2.32%
09-07-12,7731,7910,7910,7552,4.29K,-2.26%
10-07-12,7731,7552,7820,7507,9.39K,0.00%
11-07-12,7775,7731,7775,7418,9.66K,0.57%
12-07-12,7820,7597,7865,7597,9.39K,0.58%
13-07-12,8044,7999,8088,7820,24.41K,2.86%
16-07-12,7865,7641,7910,7597,6.98K,-2.23%
17-07-12,8222,7641,8222,7641,65.06K,4.54%
18-07-12,8133,8178,8178,7954,24.95K,-1.08%
19-07-12,8669,8267,8669,8178,257.41K,6.59%
20-07-12,8848,8803,9250,8401,72.70K,2.06%
23-07-12,8669,8848,8937,8580,158.82K,-2.02%
24-07-12,8312,8535,8535,8178,96.04K,-4.12%
25-07-12,8267,8222,8267,7775,134.40K,-0.54%
26-07-12,8267,8312,8312,8222,17.17K,0.00%
27-07-12,7775,7954,7954,7775,77.13K,-5.95%
30-07-12,7775,7820,7820,7552,65.73K,0.00%
31-07-12,7552,7641,7731,7552,141.92K,-2.87%
01-08-12,7507,7463,7597,7373,74.18K,-0.60%
02-08-12,7463,7507,7597,7463,37.83K,-0.59%
03-08-12,7418,7418,7463,7284,192.35K,-0.60%
06-08-12,7597,7373,7731,7373,63.85K,2.41%
07-08-12,7418,7597,7641,7373,118.44K,-2.36%
08-08-12,7507,7507,7552,7507,78.20K,1.20%
09-08-12,7552,7641,7641,7507,72.57K,0.60%
10-08-12,7507,7507,7507,7373,131.05K,-0.60%
13-08-12,7507,7463,7507,7329,123.54K,0.00%
14-08-12,7418,7552,7641,7418,58.08K,-1.19%
15-08-12,7418,7418,7463,7373,129.44K,0.00%
16-08-12,7463,7418,7463,7373,286.25K,0.61%
17-08-12,7954,7418,7954,7418,735.47K,6.58%
20-08-12,7865,7999,8267,7865,80.75K,-1.12%
21-08-12,7329,7865,7865,7329,384.70K,-6.82%
22-08-12,7060,6882,7373,6882,142.72K,-3.67%
23-08-12,6614,6882,6882,6614,412.47K,-6.32%
24-08-12,7060,6256,7060,6256,484.10K,6.74%
27-08-12,6792,6703,7239,6569,293.76K,-3.80%
28-08-12,6882,6703,6882,6658,32.19K,1.33%
29-08-12,7150,6882,7195,6882,101.14K,3.89%
30-08-12,7060,7060,7150,7060,55.26K,-1.26%
31-08-12,7105,6926,7150,6926,83.30K,0.64%
04-09-12,7195,7329,7329,7060,38.90K,1.27%
05-09-12,7016,7195,7239,6837,69.62K,-2.49%
06-09-12,7016,6971,7060,6882,88.13K,0.00%
07-09-12,7016,6882,7060,6837,17.17K,0.00%
10-09-12,6614,6837,6926,6614,79.41K,-5.73%
11-09-12,6703,6256,6971,6256,23.47K,1.35%
12-09-12,6971,6837,6971,6792,98.46K,4.00%
13-09-12,7016,7016,7016,6971,4.16K,0.65%
14-09-12,7105,7060,7150,7060,52.98K,1.27%
17-09-12,6971,7329,7329,6926,87.59K,-1.89%
18-09-12,6837,7016,7016,6748,59.42K,-1.92%
19-09-12,7060,6792,7060,6792,5.63K,3.26%
20-09-12,7016,6882,7016,6792,41.98K,-0.62%
21-09-12,7060,6882,7060,6882,1.07K,0.63%
24-09-12,7016,6926,7060,6926,41.45K,-0.62%
25-09-12,7016,7016,7060,6837,130.25K,0.00%
26-09-12,7150,7016,7329,7016,52.98K,1.91%
27-09-12,7239,6971,7284,6971,76.73K,1.24%
28-09-12,7284,7239,7284,7016,85.58K,0.62%
01-10-12,7150,7239,7239,7016,35.28K,-1.84%
02-10-12,7150,7105,7150,7105,4.02K,0.00%
03-10-12,7150,7150,7195,7150,42.92K,0.00%
04-10-12,7195,7150,7195,7150,154.93K,0.63%
05-10-12,7329,7150,7329,7150,278.60K,1.86%
08-10-12,7463,7552,7552,7329,72.30K,1.83%
09-10-12,7463,7373,7507,7329,62.10K,0.00%
10-10-12,7510,7275,7557,7275,41.05K,0.63%
11-10-12,7697,7510,7744,7510,433.53K,2.49%
12-10-12,7557,7697,7697,7463,40.64K,-1.82%
15-10-12,7510,7510,7510,7369,6.98K,-0.62%
16-10-12,7697,7463,7697,7416,62.64K,2.49%
17-10-12,7416,7697,7744,7416,93.36K,-3.65%
18-10-12,7369,7510,7510,7369,11.80K,-0.63%
19-10-12,7228,7369,7369,7181,83.03K,-1.91%
22-10-12,7181,7040,7181,7040,55.26K,-0.65%
23-10-12,7369,7181,7369,7087,37.69K,2.62%
24-10-12,7181,7134,7181,7087,7.78K,-2.55%
25-10-12,7134,7134,7181,7040,45.61K,-0.65%
26-10-12,7228,7087,7228,7087,27.36K,1.32%
29-10-12,7181,7181,7181,7181,0.13K,-0.65%
30-10-12,7040,7181,7181,7040,7.51K,-1.96%
31-10-12,7087,7040,7087,7040,15.69K,0.67%
01-11-12,7134,7087,7181,7040,22.94K,0.66%
02-11-12,6993,7040,7040,6806,22.40K,-1.98%
05-11-12,7040,6759,7040,6712,42.79K,0.67%
06-11-12,7040,7040,7181,6946,13.28K,0.00%
07-11-12,7040,7087,7134,7040,18.64K,0.00%
08-11-12,7040,6946,7040,6946,20.93K,0.00%
09-11-12,7087,7040,7087,7040,24.68K,0.67%
12-11-12,7040,7322,7322,7040,15.29K,-0.66%
13-11-12,7322,7134,7322,6899,50.97K,4.01%
14-11-12,7181,7040,7181,7040,1.48K,-1.93%
15-11-12,7040,7040,7040,7040,3.22K,-1.96%
16-11-12,7040,7040,7087,7040,8.45K,0.00%
19-11-12,7040,7040,7040,7040,1.07K,0.00%
20-11-12,7322,7040,7322,7040,9.26K,4.01%
21-11-12,7181,7087,7181,7040,12.07K,-1.93%
22-11-12,7134,7134,7181,7087,33.94K,-0.65%
23-11-12,7134,7087,7181,7087,21.33K,0.00%
26-11-12,7181,7181,7181,7134,91.21K,0.66%
27-11-12,7134,7087,7181,7040,9.52K,-0.65%
28-11-12,7181,7181,7181,7181,12.07K,0.66%
29-11-12,7322,7181,7369,7181,94.57K,1.96%
30-11-12,7275,7228,7275,7228,8.05K,-0.64%
03-12-12,7697,7275,7697,7275,88.80K,5.80%
04-12-12,7369,7510,7510,7322,22.27K,-4.26%
05-12-12,7603,7510,7744,7369,27.77K,3.18%
06-12-12,7463,7369,7463,7369,0.27K,-1.84%
07-12-12,7463,7838,7885,7369,22.53K,0.00%
10-12-12,7603,7463,7603,7463,29.64K,1.88%
11-12-12,7603,7510,7603,7510,30.31K,0.00%
12-12-12,7650,7603,7650,7603,9.66K,0.62%
13-12-12,7322,7416,7416,7134,76.06K,-4.29%
14-12-12,7181,7181,7228,7134,7.51K,-1.93%
17-12-12,7510,7510,7557,7181,7.65K,4.58%
18-12-12,7322,7416,7510,7322,90.01K,-2.50%
19-12-12,7416,7322,7463,7322,32.06K,1.28%
20-12-12,7369,7557,7603,7369,21.86K,-0.63%
21-12-12,7463,7228,7463,7181,91.75K,1.28%
24-12-12,7463,7650,7744,7463,11.80K,0.00%
25-12-12,7510,7510,7510,7416,6.04K,0.63%
26-12-12,7557,7603,7603,7322,84.10K,0.63%
27-12-12,7557,7603,7603,7416,22.27K,0.00%
28-12-12,7744,7650,7744,7510,114.82K,2.47%
02-01-13,7228,7744,7744,7228,134.54K,-6.66%
03-01-13,7463,7416,7510,7134,199.06K,3.25%
04-01-13,7463,7416,7463,7322,43.33K,0.00%
07-01-13,7416,7416,7557,7181,105.30K,-0.63%
08-01-13,7463,7369,7463,7369,86.38K,0.63%
09-01-13,7369,7463,7791,7134,364.85K,-1.26%
10-01-13,7369,7275,7416,7228,238.09K,0.00%
11-01-13,7510,7416,7603,7322,69.08K,1.91%
14-01-13,7463,7510,7510,7322,28.17K,-0.63%
15-01-13,7744,7228,7744,7228,161.10K,3.77%
16-01-13,7791,7791,8214,7557,253.92K,0.61%
17-01-13,7603,7650,7791,7463,201.74K,-2.41%
18-01-13,7510,7463,7603,7369,118.58K,-1.22%
21-01-13,7369,7603,7603,7275,43.59K,-1.88%
22-01-13,7416,7369,7463,7275,79.54K,0.64%
23-01-13,7416,7416,7416,7275,33.94K,0.00%
24-01-13,7463,7603,7603,7416,25.75K,0.63%
25-01-13,7557,7510,7603,7463,72.97K,1.26%
28-01-13,7510,7510,7697,7510,173.04K,-0.62%
29-01-13,7463,7510,7557,7416,64.39K,-0.63%
30-01-13,7510,7463,7603,7463,89.20K,0.63%
31-01-13,7557,7510,7650,7510,57.68K,0.63%
01-02-13,7510,7557,7557,7510,48.56K,-0.62%
04-02-13,7463,7557,7557,7416,18.38K,-0.63%
05-02-13,7369,7463,7463,7369,40.11K,-1.26%
06-02-13,7510,7369,7510,7369,17.97K,1.91%
07-02-13,7463,7510,7510,7463,79.27K,-0.63%
08-02-13,7510,7510,7510,7463,49.63K,0.63%
18-02-13,8261,7557,8261,7510,356.27K,10.00%
19-02-13,7979,8308,8448,7885,132.93K,-3.41%
20-02-13,8167,7979,8167,7744,84.64K,2.36%
21-02-13,7744,8120,8120,7650,157.74K,-5.18%
22-02-13,7744,7791,7885,7650,136.82K,0.00%
25-02-13,7744,7932,7932,7744,18.91K,0.00%
26-02-13,7697,7791,7791,7557,150.37K,-0.61%
27-02-13,7557,7557,7603,7510,41.45K,-1.82%
28-02-13,7557,7650,7697,7557,78.20K,0.00%
01-03-13,7510,7603,7603,7510,43.06K,-0.62%
04-03-13,7369,7510,7510,7369,85.18K,-1.88%
05-03-13,7416,7322,7416,7228,33.27K,0.64%
06-03-13,7557,7322,7557,7322,8.32K,1.90%
07-03-13,7416,7510,7603,7416,7.38K,-1.87%
08-03-13,7557,7510,7557,7510,4.16K,1.90%
11-03-13,7603,7603,7603,7510,32.06K,0.61%
12-03-13,7510,7510,7510,7463,22.67K,-1.22%
13-03-13,7510,7510,7510,7510,6.71K,0.00%
14-03-13,7463,7463,7463,7416,10.06K,-0.63%
15-03-13,7603,7463,7603,7463,26.69K,1.88%
18-03-13,7510,7557,7557,7463,17.84K,-1.22%
19-03-13,7510,7510,7557,7463,46.81K,0.00%
20-03-13,7557,7463,7557,7463,25.35K,0.63%
21-03-13,7557,7603,7744,7557,21.86K,0.00%
22-03-13,7510,7557,7557,7510,15.29K,-0.62%
25-03-13,7463,7463,7463,7463,11.80K,-0.63%
26-03-13,7510,7510,7510,7510,15.56K,0.63%
27-03-13,7463,7510,7510,7463,11.00K,-0.63%
28-03-13,7463,7463,7463,7463,12.47K,0.00%
29-03-13,7510,7369,7510,7322,13.15K,0.63%
01-04-13,7369,7463,7510,7369,66.93K,-1.88%
02-04-13,7510,7510,7557,7463,10.87K,1.91%
03-04-13,7463,7510,7603,7463,45.74K,-0.63%
04-04-13,7416,7463,7463,7416,3.35K,-0.63%
05-04-13,7463,7416,7510,7369,9.26K,0.63%
08-04-13,7697,7603,7697,7603,1.34K,3.14%
09-04-13,7603,7603,7603,7510,6.17K,-1.22%
10-04-13,7744,7510,8120,7510,427.09K,1.85%
11-04-13,7885,7744,7932,7697,48.96K,1.82%
12-04-13,7697,7791,7885,7697,38.63K,-2.38%
15-04-13,7463,7697,7697,7416,133.60K,-3.04%
16-04-13,7603,7416,7603,7322,44.67K,1.88%
17-04-13,7557,8073,8073,7416,18.24K,-0.61%
18-04-13,7463,7510,7510,7463,14.22K,-1.24%
22-04-13,7416,7463,7463,7369,13.41K,-0.63%
23-04-13,7416,7510,7510,7416,10.33K,0.00%
24-04-13,7416,7416,7463,7416,3.89K,0.00%
25-04-13,7510,7463,7510,7463,5.37K,1.27%
26-04-13,7557,7510,7557,7463,329.44K,0.63%
02-05-13,7510,7557,7557,7510,295.37K,-0.62%
03-05-13,7650,7510,7650,7510,18.38K,1.86%
06-05-13,7650,7650,7697,7557,32.86K,0.00%
07-05-13,7650,7650,7650,7510,57.81K,0.00%
08-05-13,7744,7650,7744,7650,48.69K,1.23%
09-05-13,7744,7744,7791,7650,10.33K,0.00%
10-05-13,7650,7697,7697,7650,37.69K,-1.21%
13-05-13,7697,7650,7697,7650,94.03K,0.61%
14-05-13,7697,7650,7697,7650,65.06K,0.00%
15-05-13,7744,7697,7791,7697,48.83K,0.61%
16-05-13,7791,7838,7838,7744,60.90K,0.61%
17-05-13,7885,7791,7932,7791,39.84K,1.21%
20-05-13,7932,7885,7979,7838,56.61K,0.60%
21-05-13,7979,7979,8120,7979,97.79K,0.59%
22-05-13,7932,7979,8073,7932,23.88K,-0.59%
23-05-13,7744,7838,7932,7603,76.06K,-2.37%
24-05-13,7791,7791,7932,7697,47.48K,0.61%
27-05-13,8214,7979,8354,7979,395.97K,5.43%
28-05-13,8214,8261,8261,8073,52.58K,0.00%
29-05-13,8167,8214,8448,8167,104.36K,-0.57%
30-05-13,7979,8167,8214,7979,74.71K,-2.30%
31-05-13,8214,8120,8354,8026,163.65K,2.95%
03-06-13,8120,8167,8167,8073,85.18K,-1.14%
04-06-13,8214,8167,8448,8120,166.33K,1.16%
05-06-13,8214,8214,8214,8073,59.42K,0.00%
06-06-13,8542,8214,8683,8167,124.48K,3.99%
07-06-13,8683,8542,8730,8308,276.72K,1.65%
10-06-13,8824,8777,9105,8730,467.87K,1.62%
11-06-13,8871,8777,8918,8730,145.14K,0.53%
12-06-13,9107,9001,9370,8949,139.85K,2.66%
13-06-13,9001,9054,9054,8791,212.75K,-1.16%
14-06-13,8791,8896,8949,8738,51.05K,-2.33%
17-06-13,8738,8949,8949,8633,61.98K,-0.60%
18-06-13,8528,8686,8686,8422,40.12K,-2.40%
19-06-13,8843,8686,8843,8686,87.56K,3.69%
20-06-13,8791,8633,8843,8633,15.65K,-0.59%
21-06-13,8686,8791,8791,8633,198.97K,-1.19%
24-06-13,8528,8686,8686,8528,16.52K,-1.82%
25-06-13,8212,8475,8475,8106,102.84K,-3.71%
26-06-13,8264,8264,8370,8212,16.15K,0.63%
27-06-13,8422,8370,8422,8317,13.29K,1.91%
28-06-13,8528,8422,8528,8317,359.93K,1.26%
01-07-13,8370,8422,8422,8317,25.71K,-1.85%
02-07-13,8370,8370,8370,8317,16.89K,0.00%
03-07-13,8370,8317,8370,8264,16.64K,0.00%
04-07-13,8422,8317,8422,8317,11.18K,0.62%
05-07-13,8317,8317,8370,8317,17.14K,-1.25%
08-07-13,8264,8317,8317,8264,13.54K,-0.64%
09-07-13,8317,8317,8317,8317,27.95K,0.64%
10-07-13,8317,8317,8317,8264,21.74K,0.00%
11-07-13,8317,8212,8317,8212,11.92K,0.00%
12-07-13,8317,8264,8370,8212,156.49K,0.00%
15-07-13,8317,8317,8317,8317,7.58K,0.00%
16-07-13,8475,8317,8475,8317,20.49K,1.90%
17-07-13,8475,8422,8475,8370,28.94K,0.00%
18-07-13,8475,8422,8528,8370,47.32K,0.00%
19-07-13,8633,8528,8633,8528,27.32K,1.86%
22-07-13,8528,8633,8633,8528,9.32K,-1.22%
23-07-13,8843,8580,8949,8580,114.14K,3.69%
24-07-13,8633,8791,8791,8633,36.76K,-2.37%
25-07-13,8686,8580,8686,8580,48.93K,0.61%
26-07-13,8475,8633,8633,8475,33.66K,-2.43%
29-07-13,8475,8633,8633,8422,102.50K,0.00%
30-07-13,8422,8475,8475,8422,185.18K,-0.63%
31-07-13,8422,9265,9265,8422,40.61K,0.00%
01-08-13,8422,8370,8422,8370,15.32K,0.00%
02-08-13,8422,8422,8633,8422,221.10K,0.00%
05-08-13,8791,8580,8791,8580,89.30K,4.38%
06-08-13,8949,8738,8949,8686,98.76K,1.80%
07-08-13,8949,8686,8949,8686,78.62K,0.00%
08-08-13,8738,8896,8949,8738,63.50K,-2.36%
09-08-13,8580,8686,8738,8580,12.42K,-1.81%
12-08-13,8528,8580,8580,8528,70.80K,-0.61%
13-08-13,8528,8580,8633,8528,9.10K,0.00%
14-08-13,8686,8528,8686,8528,20.04K,1.85%
15-08-13,8528,8633,8686,8475,120.00K,-1.82%
16-08-13,8580,8528,8738,8528,73.97K,0.61%
19-08-13,8686,8580,8686,8528,20.36K,1.24%
20-08-13,8633,8686,8686,8580,22.62K,-0.61%
21-08-13,8580,8580,8580,8475,185.95K,-0.61%
22-08-13,8422,8528,8580,8422,196.24K,-1.84%
23-08-13,8370,8475,8475,8370,167.35K,-0.62%
26-08-13,8422,8370,8422,8317,31.03K,0.62%
27-08-13,8422,8475,8475,8422,33.26K,0.00%
28-08-13,8370,8370,8422,8317,76.43K,-0.62%
29-08-13,8422,8317,8422,8317,16.00K,0.62%
30-08-13,8422,8370,8422,8370,9.19K,0.00%
03-09-13,8370,8422,8422,8370,10.83K,-0.62%
04-09-13,8370,8370,8370,8370,6.46K,0.00%
05-09-13,8528,8422,8528,8317,5.98K,1.89%
06-09-13,8475,8370,8528,8370,8.24K,-0.62%
09-09-13,8370,8370,8370,8317,65.08K,-1.24%
10-09-13,8370,8370,8370,8370,19.56K,0.00%
11-09-13,8370,8370,8370,8370,10.33K,0.00%
12-09-13,8422,8422,8422,8370,10.93K,0.62%
13-09-13,8370,8422,8422,8370,29.84K,-0.62%
16-09-13,8422,8370,8422,8317,138.48K,0.62%
17-09-13,8475,8370,8475,8317,43.47K,0.63%
18-09-13,8422,8475,8475,8370,12.05K,-0.63%
19-09-13,8422,8370,8422,8370,25.06K,0.00%
20-09-13,8422,8422,8475,8422,17.66K,0.00%
23-09-13,8475,8422,8475,8370,24.47K,0.63%
24-09-13,8528,8422,8580,8422,20.24K,0.63%
25-09-13,8580,8528,8686,8528,45.95K,0.61%
26-09-13,8528,8528,8528,8528,2.86K,-0.61%
27-09-13,8633,8528,8633,8528,55.39K,1.23%
30-09-13,8686,8580,8686,8580,34.53K,0.61%
01-10-13,8686,8686,8738,8686,69.17K,0.00%
02-10-13,8686,8686,8686,8633,38.05K,0.00%
03-10-13,8686,8686,8686,8580,34.52K,0.00%
04-10-13,8738,8580,8738,8528,5.22K,0.60%
07-10-13,8738,8686,8738,8686,53.12K,0.00%
08-10-13,8738,8738,8738,8686,28.92K,0.00%
09-10-13,8738,8686,8738,8686,18.15K,0.00%
10-10-13,8949,8738,9212,8738,153.64K,2.41%
11-10-13,9212,8949,9212,8949,230.14K,2.94%
14-10-13,9107,9212,9265,9107,81.48K,-1.14%
15-10-13,9212,9001,9212,9001,112.00K,1.15%
16-10-13,9265,9107,9265,9107,40.99K,0.58%
17-10-13,9422,9265,9580,9265,267.03K,1.69%
18-10-13,9528,9422,9738,9422,348.65K,1.13%
21-10-13,9370,9370,9528,9317,116.00K,-1.66%
22-10-13,9265,9370,9580,9212,75.95K,-1.12%
23-10-13,9528,9370,9528,9370,187.42K,2.84%
24-10-13,9212,9528,9528,9212,214.89K,-3.32%
25-10-13,9370,9265,9422,9212,150.72K,1.72%
28-10-13,9159,9370,9370,9159,61.48K,-2.25%
29-10-13,9212,9265,9265,9159,54.03K,0.58%
30-10-13,9317,9212,9317,9159,54.45K,1.14%
31-10-13,9212,9317,9317,9107,66.54K,-1.13%
01-11-13,9159,9212,9212,9054,31.28K,-0.58%
04-11-13,9107,9107,9212,9107,27.82K,-0.57%
05-11-13,9212,9107,9212,9107,55.41K,1.15%
06-11-13,9107,9212,9212,9054,37.18K,-1.14%
07-11-13,9107,9107,9212,9107,58.13K,0.00%
08-11-13,9159,9159,9212,9159,25.55K,0.57%
11-11-13,9265,9212,9265,9159,50.02K,1.16%
12-11-13,9159,9370,9370,9159,33.41K,-1.14%
13-11-13,9159,9159,9159,9107,18.10K,0.00%
